section,key,value
machine_profile,hostname,dark-heart-passes-fin-03
machine_profile,system,Linux
machine_profile,release,6.8.0-100-generic
machine_profile,platform,Linux-6.8.0-100-generic-x86_64-with-glibc2.39
machine_profile,machine,x86_64
machine_profile,python_version,3.12.3
machine_profile,cpu_count,88
machine_profile,cuda_visible_devices,
machine_profile,cuda_compute_cap_override,80
machine_profile,detected_cuda_device_count,4
machine_profile,effective_device_ids,"[0, 1]"
repo_state,repo_path,/root/Documents/myelon-launch/vllm.rs
repo_state,branch,myelon-integration-1
repo_state,commit,bea57ca3fcc393ed162f98a50d8eaa74fb7d4074
repo_state,status,"M scripts/myelon_report_common.py
 M scripts/myelon_validation_common.py
 M scripts/run_myelon_pd_benchmark_matrix.py
 M scripts/tests/test_benchmark_contract.py
?? artifacts/a100_pd_qwen3_06b_20260407/"
